Address,Lattitude,Longitude,Crime Rate,Appreciation Rate,Foot Traffic Rate,Proximity to Infrastructure,Neighborhood Reputation,Risk Score
"1230 River Bend Drive, Dallas, TX",32.816648,-96.862842,0.84,0.16,0.36,0.55,0.71,0.669
"12700 Park Central Drive, Dallas, TX",32.921131,-96.77552,0.79,0.41,0.22,0.49,0.38,0.681
"4100 Alpha Road, Farmers Branch, TX",32.931987,-96.840313,0.62,0.2,0.67,0.51,0.8,0.53
"3333 Welborn Street, Dallas, TX",32.810049,-96.806334,0.96,0.83,0.15,0.29,0.8,0.634
"6060 North Central Expressway, Dallas, TX",32.839905,-96.774783,0.28,0.95,0.77,0.43,0.57,0.2925
"4730 SW Loop 820, Fort Worth, TX",32.6829623,-97.3958597,0.2,0.17,0.39,0.43,0.98,0.416
"1901 Windsor Place, Fort Worth, TX",32.7221311,-97.345783,0.87,0.96,0.1,0.15,0.21,0.6935
"6580 Lake Worth Blvd, Lake Worth, TX",32.8148842,-97.4390203,0.5,0.57,0.56,0.79,0.12,0.4905
"6619 Forest Hill Drive, Fort Worth, TX",32.6451352,-97.2699215,0.86,0.37,0.14,0.47,0.79,0.667
"7508 Denton Hwy, Fort Worth, TX",32.878507,-97.261276,0.9,0.17,0.35,0.84,0.83,0.628
"6201 Granbury Rd, Fort Worth, TX",32.6574,-97.401861,0.16,0.55,0.74,0.87,0.21,0.323
"4009 E Loop 820 S, Fort Worth, TX",32.7041431,-97.2342277,0.9,0.82,0.16,0.29,0.34,0.6825
"5200 South Freeway, Fort Worth, TX",32.6752205,-97.3208907,0.5,0.74,0.86,0.69,0.12,0.4265
"777 Main Street, Fort Worth, TX",32.7531618,-97.329721,0.56,0.15,0.1,0.53,0.36,0.6675
"300 Throckmorton Street, Fort Worth, TX",32.7545164,-97.3338446,0.66,0.17,0.32,0.89,0.8,0.5455
"6000 Quebec Street, Fort Worth, TX",32.8067373,-97.4273882,0.93,0.46,0.77,0.29,0.57,0.639
"7636 Pebble Drive, Fort Worth, TX",32.7920668,-97.2135227,0.12,0.37,0.38,0.71,0.41,0.393
"1321 E Berry Street, Fort Worth, TX",32.7062451,-97.3089858,0.53,0.31,0.19,0.65,0.43,0.583
"815 Pennsylvania Avenue, Fort Worth, TX",32.7381101,-97.3336301,0.72,0.35,0.42,0.37,0.1,0.6985
"2529 East Loop 820 North, Fort Worth, TX",32.7891396,-97.2129983,0.75,0.82,0.34,0.22,0.37,0.609
"3601 NE Loop 820, Fort Worth, TX",32.840472,-97.2959062,0.72,0.94,0.86,0.69,0.68,0.3795
"6320 Brentwood Stair Road, Fort Worth, TX",32.759022,-97.2211552,0.22,0.46,0.38,0.76,0.98,0.317
"6800 Manhattan Blvd, Fort Worth, TX",32.7745731,-97.2115313,0.37,0.92,0.81,0.38,0.86,0.288
"1501 LBJ Fwy, Dallas, TX",32.9098338,-96.9276229,0.42,0.39,0.9,0.68,0.12,0.464
"3662 West Camp Wisdom Road, Dallas, TX",32.6594513,-96.8773285,0.82,0.53,0.49,0.46,0.91,0.552
"2525 N Buckner Boulevard, Dallas, TX",32.8183569,-96.6905705,0.35,0.3,0.92,0.74,0.8,0.3435
"4770 Iberia Avenue, Dallas, TX",32.8037272,-96.8469409,0.29,0.68,0.44,0.28,0.8,0.3875
"6711 Sharrock Road, Dallas, TX",32.85946,-96.831886,0.96,0.98,0.97,0.9,0.51,0.433
"2236 S Belt Line Road, Dallas, TX",32.736165,-96.6014562,0.11,0.64,0.18,0.36,0.46,0.4105
"7767 Newt Drive, Dallas, TX",32.9896665,-96.7733273,1,0.42,0.72,0.43,0.37,0.688
"900 Ann Avenue, Dallas, TX",32.786058,-96.762556,0.71,0.68,0.54,0.15,0.16,0.635
"4737 Village Fair Drive, Dallas, TX",32.69027,-96.8261075,0.85,0.21,0.45,0.2,0.31,0.7615
"7041 Military Parkway, Dallas, TX",32.7722471,-96.6984185,0.37,0.9,0.67,0.56,0.32,0.367
"5857 Park Vista Circle, Fort Worth, TX",32.9106379,-97.2598281,0.11,0.55,0.73,0.34,0.54,0.337
"522 N Sylvania Avenue, Fort Worth, TX",32.7720531,-97.3085662,0.76,0.5,0.1,0.85,0.77,0.558
"5025 E Lancaster Avenue, Fort Worth, TX",32.7412557,-97.2455106,0.85,0.63,0.25,0.11,0.53,0.688
"2312 Decatur Avenue, Fort Worth, TX",32.7874053,-97.3369448,0.77,0.66,0.74,0.44,0.15,0.588
"3403 N Beach Street, Fort Worth, TX",32.8044198,-97.2909352,0.23,0.16,0.7,0.4,0.96,0.3895
"2320 E Berry Street, Fort Worth, TX",32.7066948,-97.2978722,0.78,0.71,0.97,0.12,0.95,0.475
"5720 Rendon Bloodworth Road, Fort Worth, TX",32.576322,-97.237942,0.79,0.32,0.78,0.21,0.81,0.5925
"4001 Maple Ave, Dallas, TX",32.8054464,-96.8166088,0.69,0.74,0.96,0.47,0.99,0.3805
"155 Walsh Avenue, Fort Worth, TX",32.7372168,-97.5668163,0.79,0.84,0.73,0.54,0.59,0.4795
"3662 W Camp Wisdom Rd, Dallas, TX",32.6594513,-96.8773285,0.86,0.82,0.37,0.46,0.97,0.517
"1501 LBJ Fwy, Farmers Branch, TX",32.9098338,-96.9276229,0.65,0.6,0.19,0.58,0.17,0.6165
"1503 LBJ Fwy, Farmers Branch, TX",32.9102774,-96.9276497,0.18,0.57,0.8,0.64,0.43,0.3185
"777 Main St, Fort Worth, TX",32.7531618,-97.329721,0.54,0.23,0.68,0.11,0.3,0.6295
"1230 River Bend Drive #208, Dallas, TX",32.8166527,-96.8628489,0.17,0.8,0.14,0.52,0.28,0.4085
"1501-1503 LBJ Fwy, Dallas, TX",32.9254571,-96.8165837,0.47,0.34,0.42,0.97,0.23,0.5035
"815 Pennsylvania Ave, Fort Worth, TX",32.7381101,-97.3336301,0.47,0.55,0.96,0.57,0.66,0.376